,id,name,popularity,duration,artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo
384,3J6bLodhUHgNyzEZLgcieN,Love Me Land,70,159810,Zara Larsson,0.302,0.481,-7.023,0.0625,0.0945,5.33e-06,0.252,216.334
385,7bIq1v8svANsAys7I694Up,Heaven On My Mind (with Sigala),75,192573,"Becky Hill, Sigala",0.71,0.891,-3.116,0.0749,0.0313,0.0,0.705,125.024
386,45bE4HXI0AwGZXfZtMp8JR,you broke me first,94,169265,Tate McRae,0.642,0.374,-9.386,0.0545,0.786,0.0,0.0799,124.099
389,4PV0uE5pZSh44E3NqNNDEH,Selfish,81,223270,Madison Beer,0.375,0.461,-6.202,0.0279,0.627,0.0,0.233,75.217
392,380HmhwTE2NJgawn1NwkXi,Rojo,79,150720,J Balvin,0.663,0.598,-4.042,0.17,0.193,8.02e-05,0.4,172.245
395,21jGcNKet2qwijlDFuPiPb,Circles,89,215280,Post Malone,0.695,0.762,-3.497,0.0395,0.192,0.00244,0.553,120.042
397,5u1n1kITHCxxp8twBcZxWy,Holy (feat. Chance The Rapper),94,212093,"Justin Bieber, Chance the Rapper",0.673,0.704,-8.056,0.36,0.196,0.0,0.372,86.919
400,5y7DaS3jAc9eZzcSOoUIwU,Una Locura,91,230693,"Ozuna, J Balvin, Chencho Corleone",0.714,0.761,-4.596,0.0427,0.139,0.00035,0.906,168.022
401,70eFcWOvlMObDhURTqT4Fv,Beautiful People (feat. Khalid),77,197866,"Ed Sheeran, Khalid",0.64,0.647,-8.114,0.186,0.124,0.0,0.546,92.979
403,0TrPqhAMoaKUFLR7iYDokf,Know Your Worth,81,181436,"Khalid, Disclosure",0.79,0.694,-7.726,0.0708,0.145,0.00252,0.508,103.007
405,3ZG8N7aWw2meb6UrI5ZmnZ,Relación,84,184254,Sech,0.805,0.562,-3.117,0.105,0.125,4.96e-06,0.767,172.094
408,3jjujdWJ72nww5eGnfs2E7,Adore You,87,207133,Harry Styles,0.676,0.771,-3.675,0.0483,0.0237,7e-06,0.569,99.048
412,4G3PTss3mU33Tau7t4KbwE,Tattoo - Remix with Camilo,74,222680,"Rauw Alejandro, Camilo",0.721,0.637,-5.134,0.286,0.0406,0.0,0.691,193.922
